STT,URL livesite,Topic tag,"Key chính(Research
 key phụ)",Vol ,Hạng mục ,Year,Month,Week,File audit content,Dealine,Link Docs,PIC,Content review,Note,Status,Word count,,,,,,,,,,
,https://avada.io/blog/shopify-app-marketplace/,Shopify; Shopify app,shopify marketplace apps,90500,Audit,2026,6,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-pricing-plans/,Shopify; Shopify price & costs;,shopify pricing,74000,Audit,2026,3,1,Shopify pricing,,Shopify pricing,Ngân,,,Content review,,,,,,,,,,,
,https://avada.io/blog/what-is-shopify/,Shopify; Shopify Knowledge,what is shopify and how does it work,49500,Audit,2026,3,1,Copy of What Is Shopify & How Does It Work,,what is shopify and how does it work,Ngân,,,Content review,,,,,,,,,,,
,https://avada.io/blog/set-up-shopify-store/,Shopify; Shoify Knowledge,set up a shopify store,40500,Audit,2026,4,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/get-free-shopify-trial/,Shopify; Shopify price & costs;,shopify free trials,40500,Audit,2026,3,1,,,shopify free trials,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/myshopify/,Shopify; Shopify Knowledge,myshopify,33100,Audit,2026,3,1,myshopify,,myshopify,Ngân,,,Content review,,,,,,,,,,,
,https://avada.io/blog/shopify-pay/,Shopify; Shopify Payments & Gateways,shopify pay,27100,Audit,2026,3,4,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-payments/,Shopify; Shopify Payments & Gateways,shopify payments,27100,Audit,2026,3,4,,,,,,,,,,,,,,,,,,
,https://avada.io/tools/shopify-theme-detector,Shopify; Shopify theme; Shopify tool,shopify theme detector,27100,Audit,2026,3,1,,,shopify theme detector,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/website-builder-shopify,Shopify; Shopify Knowledge,shopify website builder,22200,Audit,2026,4,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-plus-reviews/,Shopify; Shopify price & costs; Shopify;,shopify plus,18100,Audit,2026,3,1,,,shopify plus,Hương,,,Doing,,,,,,,,,,,
,https://avada.io/tools/business-name-generator/,Shopify; Shopify tool,shopify business name generator,18100,Audit,2026,5,2,Default categorization - review recommended,,,,,,,,,,,,,,,,,
,https://avada.io/blog/best-free-shopify-themes/,Shopify; Shopify theme,shopify free themes,14800,Audit,2026,3,1,,,shopify free themes,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/everything-need-to-know-about-shopify-inventory-management/,Shopify; Shopify Knowledge; Shopify inventory,shopify inventory management,9900,Audit,2026,4,3,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/inventory-management-app-shopify/,Shopify; Shopify Knowledge; Shopify app; Shopify inventory,inventory management software shopify,9900,Audit,2026,4,3,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/track-inventory-levels/,Shopify; Shopify Knowledge; Shopify inventory,shopify inventory tracking,9900,Audit,2026,4,3,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/woocommerce-vs-shopify/,Shopify; Shopify comparresion; woocommerce ,woocommerce vs. shopify,9900,Audit,2026,4,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/burst-by-shopify-review/,Shopify; Shopify app,brust shopify,8100,Audit,2026,6,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/introduction-liquid/,Shopify; Shopify liquid,liquid shopify,8100,Audit,2026,5,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-partner-account/,Shopify; Shoify Knowledge,shopify partners account,8100,Audit,2026,4,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-starter-plan/,Shopify; Shopify price & costs;,shopify starter plan,8100,Audit,2026,3,1,,,shopify starter plan,Hương,,,Doing,,,,,,,,,,,
,https://avada.io/blog/shopify-vs-etsy/,Shopify; Shopify comparresion; etsy; ,etsy vs. shopify,8100,Audit,2026,4,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-loan-calculator/,Shopify; Shopify price & costs;,shopify capital loans,6600,Audit,2026,3,1, ,,,Hương,,,,,,,,,,,,,,
,https://avada.io/blog/payment-gateway-for-shopify/,Shopify; Shopify Payments & Gateways,shopify payment gateways,6600,Audit,2026,3,4,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-vs-squarespace/,Shopify; Shopify comparresion; squarespace,shopify vs squarespace,6600,Audit,2026,4,2,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-vs-wix/,Shopify; Shopify comparresion; wix ,wix vs shopify,6600,Audit,2026,4,2,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-product-bundles/,Shopify; Shopify Knowledge,product bundles shopify,5400,Audit,2026,4,3,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/best-shopify-stores-examples,Shopify; Shopify Knowledge,shopify store examples,5400,Audit,2026,4,4,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/how-set-up-shopify-payments/,Shopify; Shopify Payments & Gateways,shopify payments set up,5400,Audit,2026,3,4,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-promo-code/,Shopify; Shopify Knowledge,promo code for shopify,5400,Audit,2026,5,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/how-to-start-a-shopify-store/,Shopify; Shoify Knowledge,how to start a shopify store,5400,Audit,2026,4,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/add-stripe-to-shopify/,Shopify; Shopify Payments & Gateways; stripe,shopify stripe,5400,Audit,2026,3,4,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/best-shopify-plugins/,Shopify; Shopify app,shopify plugins,5400,Audit,2026,6,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/best-shopify-themes-templates/,Shopify; Shopify theme,shopify best theme,5400,Audit,2026,3,1,,,shopify best theme,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/is-shopify-legit/,Shopify; Shopify Knowledge,is shopify legit,4400,Audit,2026,3,1,,,is shopify legit,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/best-shopify-crm-integration/,Shopify; Shopify app,shopify crm software,4400,Audit,2026,3,1,,,shopify crm software,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/best-subscription-app-shopify/,Shopify; Shopify app,shopify subscription apps,4400,Audit,2026,6,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-theme-ella,Shopify; Shopify theme,ella shopify theme,4400,Audit,2026,3,1,,,ella shopify theme,Ngân,,,Doing,,,,,,,,,,,
,https://avada.io/blog/sign-up-for-shopify/,Shopify; Shopify price & costs;,shopify subscribe,3600,Audit,2026,3,1,,,,Hương,,,,,,,,,,,,,,
,https://avada.io/blog/best-shopify-apps/,Shopify; Shopify app,best shopify apps,3600,Audit,2026,6,1,,,,,,,,,,,,,,,,,,
,https://avada.io/blog/shopify-apps-detector/,Shopify; Shopify app,shopify app detector,3600,Audit,2026,6,1,,,,,,,,,,,,,,,,,,
